MONTH	P_TC	P_PFPR	P_TACT_code	P_TACT	FREQ_580Y_99	FREQ_580Y_95	FREQ_580Y_75	FREQ_580Y_50	FREQ_580Y_25	FREQ_580Y_05	FREQ_580Y_01	TFR_99	TFR_95	TFR_75	TFR_50	TFR_25	TFR_05	TFR_01	PFPR_99	PFPR_95	PFPR_75	PFPR_50	PFPR_25	PFPR_05	PFPR_01
83	0.25	0.1	ASMQ_PPQ	1	0.53597454	0.39954435	0.180497	0.08879215	0.027249	0.002681418	0	0.27399973	0.12924705	0.07852565	0.0315271	0	0	0	0.000455265	0.000404775	0.000281	0.00018825	0.00012775	0.00006725	0.000030895
84	0.25	0.1	ASMQ_PPQ	1	0.50781983	0.39449125	0.18233825	0.08891805	0.031641325	0.002574529	0	0.25083333	0.2	0.0909091	0.037037	0	0	0	0.00044483	0.000410475	0.000272	0.00018575	0.000127875	0.000057525	0.00003236
85	0.25	0.1	ASMQ_PPQ	1	0.53870238	0.36565455	0.17915325	0.0866307	0.03062	0.004727333	0	0.21436536	0.15862095	0.067857175	0	0	0	0	0.000438675	0.000407025	0.00026025	0.000183	0.000126	0.00005865	0.000030845
86	0.25	0.1	ASMQ_PPQ	1	0.53177959	0.357616	0.17846675	0.10145275	0.02751935	0.004037805	0	0.22285692	0.1821021	0.08794465	0.0333333	0	0	0	0.000416845	0.00039735	0.0002625	0.00018225	0.000124375	0.000059925	0.000026855
87	0.25	0.1	ASMQ_PPQ	1	0.5485922	0.3393485	0.172349	0.09479675	0.0361006	0.004695381	0	0.21880981	0.15448705	0.063541675	0	0	0	0	0.000418515	0.00039205	0.0002625	0.0001815	0.000122125	0.00005755	0.00002337
88	0.25	0.1	ASMQ_PPQ	1	0.55508958	0.35512085	0.172988	0.08968145	0.03591225	0.005061638	0	0.25	0.1740409	0.0666667	0	0	0	0	0.000418985	0.00038235	0.000255375	0.000181	0.000118625	0.000053725	0.0000239
89	0.25	0.1	ASMQ_PPQ	1	0.57745812	0.38680775	0.17805775	0.09075315	0.0407019	0.003776869	0	0.230769	0.125133	0.0666667	0	0	0	0	0.000417705	0.000385625	0.000251	0.000178	0.000116375	0.000054675	0.000022915
90	0.25	0.1	ASMQ_PPQ	1	0.6024379	0.38218525	0.18932775	0.08476905	0.04446175	0.006186304	0.00382239	0.14392843	0.12541665	0.0625	0	0	0	0	0.00042811	0.00038835	0.0002515	0.00018	0.00011325	0.0000465	0.000021415
91	0.25	0.1	ASMQ_PPQ	1	0.59811597	0.3710443	0.1833075	0.0897436	0.0382392	0.006527118	0.003178167	0.20022222	0.142857	0.063004025	0	0	0	0	0.000420755	0.000385275	0.000247875	0.000177	0.000115625	0.00003995	0.00002337
92	0.25	0.1	ASMQ_PPQ	1	0.62945732	0.4036183	0.2	0.0849417	0.0370107	0.007701044	0.004240239	0.25083333	0.2	0.0572917	0	0	0	0	0.000417705	0.0003775	0.00024575	0.00017025	0.000120125	0.00004445	0.00002589
93	0.25	0.1	ASMQ_PPQ	1	0.6324099	0.43422855	0.19119975	0.0956012	0.036222575	0.006427798	0.004111291	0.33999967	0.23173055	0.0769231	0.0333333	0	0	0	0.00040495	0.000367625	0.00023875	0.0001695	0.000115625	0.0000444	0.000028855
94	0.25	0.1	ASMQ_PPQ	1	0.65220769	0.4242636	0.206631	0.0901579	0.033125	0.007378714	0.002605264	0.5	0.2	0.080833325	0	0	0	0	0.00042411	0.000355575	0.000235375	0.00016575	0.000109375	0.000047075	0.000025415
95	0.25	0.1	ASMQ_PPQ	1	0.65393092	0.43029135	0.21144625	0.1058045	0.0323788	0.003826368	0	0.25035714	0.2007143	0.07478635	0	0	0	0	0.00042536	0.000356125	0.0002455	0.00016325	0.000102	0.0000441	0.00002341
96	0.25	0.1	ASMQ_PPQ	1	0.62830339	0.43427205	0.216541	0.1043225	0.0336479	0.007178179	0	0.15430754	0.142857	0.0714286	0	0	0	0	0.00042665	0.000344625	0.00025	0.00015625	0.0000995	0.0000456	0.000019465
97	0.25	0.1	ASMQ_PPQ	1	0.60628788	0.4278495	0.2214555	0.10084915	0.03926095	0.006079715	0	0.22285692	0.12708335	0.067857175	0	0	0	0	0.000413235	0.000344875	0.000251375	0.0001535	0.000095375	0.000043325	0.000021945
